,1950,1970,1990,2010,2020,2040,2060,2080,2100
World,2536431.018,3700437.042,5327231.04100001,6956823.588,7794798.729,9198847.382,10151469.683,10673904.454,10875393.719
Africa,227794.137,363447.593,630349.685,1039304.03,1340598.113,2076749.579,2904977.434,3680570.725,4280127.131
China,554419.269,827601.385,1176883.681,1368810.604,1439323.774,1449031.42,1333030.632,1185891.297,1064993.457
India,376325.2,555189.797,873277.799,1234281.163,1380004.385,1592691.52,1651018.523,1580043.792,1447025.612
Europe,549328.859,656919.37,720858.411,736412.998,747636.045,727810.629,688790.495,649588.761,629562.562
South America,168820.524,286675.705,442840.078,591352.345,653962.332,742347.826,767494.831,738619.999,679992.94
North America,172602.611,230991.859,279785.251,343287.422,368869.644,410177.116,439379.231,467638.872,490888.556
Other,487140.40000000014,779611.2909999997,1203236.0949999997,1643374.438,1864403.7069999995,2200038.91,2366777.8540000003,2371550.5540000014,2282802.7420000006
